selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,17526.191197737273,2806.9171615769847,17526.191197737273,9965.99251371615,0.0,0.0,0.0,0.275,7560.198684021125,0.66,400,10,0
Random,24848.384934192745,3758.664119715223,17526.191197737273,9965.99251371615,-0.9685186914374768,-1.2404465484779466,0.9698846455970287,0.21,14882.3924204766,0.515,400,10,0
Feature-clf(hgb),17892.393450616997,2069.3802026951575,17526.191197737273,9965.99251371615,-0.04843817843752069,-0.15862339422294527,0.43187554267318773,0.325,7926.40093690085,0.6525,400,10,42
"Feature-clf(hgb, cost-sensitive)",17384.356316817,2717.9823854711935,17526.191197737273,9965.99251371615,0.01876073458493201,-0.04335958587042862,0.31087702593724204,0.34,7418.363803100849,0.6625,400,10,42
"Feature-clf(rf, cost-sensitive)",16419.6204185545,3520.16340232751,17526.191197737273,9965.99251371615,0.14636794949867774,0.0882258102075946,0.3886659800769922,0.3725,6453.627904838349,0.6825,400,10,42
"Feature-reg(hgb, log-cost)",16734.59151206225,2152.792483804972,17526.191197737273,9965.99251371615,0.10470620135263269,0.01643176498654703,0.3970692226595095,0.3225,6768.5989983461,0.675,400,10,42
VBS (oracle),9965.99251371615,2576.7527810741203,17526.191197737273,9965.99251371615,1.0,1.0,0.0,1.0,0.0,0.8075,400,10,0
