selector,par10,par10_std,sbs_par10,vbs_par10,gap_closed,gap_closed_std,accuracy,mean_regret,solved_fraction,n_folds,fallbacks
SBS,17970.237330175503,2879.4421780475222,17970.237330175503,13347.12618063025,0.0,0.0,0.6,4623.111149545251,0.6525,10,0
Random,20981.166113970252,2671.7527747161434,17970.237330175503,13347.12618063025,-1.0045849442177104,1.0449021707914603,0.45499999999999996,7634.03993334,0.5925,10,0
Feature-clf(hgb),18337.51474630275,1840.6745704812558,17970.237330175503,13347.12618063025,-0.364289638156328,0.880790570396547,0.5775000000000001,4990.388565672501,0.645,10,42
"Feature-clf(hgb, cost-sensitive)",16140.086919577752,2632.546104906108,17970.237330175503,13347.12618063025,0.3210943751604172,0.450611330867211,0.615,2792.9607389475,0.6900000000000002,10,42
"Feature-clf(rf, cost-sensitive)",16495.633687300502,2298.1289700992247,17970.237330175503,13347.12618063025,0.25713955496166485,0.27866601579032385,0.6025,3148.50750667025,0.6824999999999999,10,42
"Feature-reg(hgb, log-cost)",16019.278668199748,2804.072658942368,17970.237330175503,13347.12618063025,0.36495726036609966,0.3289643459217034,0.5775,2672.1524875695,0.6925,10,42
VBS (oracle),13347.12618063025,2319.536057364353,17970.237330175503,13347.12618063025,1.0,0.0,1.0,0.0,0.7425,10,0
