selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,20583.059746885025,4479.699715530899,20583.059746885025,9958.395543252183,0.0,0.0,0.0,0.21921921921921922,10624.664203632841,0.5975975975975976,333,10,0
Random,24475.24704330711,3044.5854601430733,20583.059746885025,9958.395543252183,-0.366335088038947,-1.4490078502492305,3.3797183440814096,0.23123123123123124,14516.851500054927,0.5195195195195195,333,10,0
Feature-clf(hgb),15541.636185291625,2195.904342649561,20583.059746885025,9958.395543252183,0.4745019197754607,0.09352429510844285,1.210580031944577,0.5195195195195195,5583.2406420394445,0.6966966966966966,333,10,0
"Feature-clf(hgb, cost-sensitive)",15566.80824803086,2268.185012027968,20583.059746885025,9958.395543252183,0.4721327095814455,-0.27397800298567115,2.3486176811490194,0.5255255255255256,5608.412704778679,0.6966966966966966,333,10,0
"Feature-clf(rf, cost-sensitive)",15561.170610559733,2993.475194450843,20583.059746885025,9958.395543252183,0.47266332752504125,-0.2619662141077252,2.38000538461964,0.5345345345345346,5602.775067307547,0.6966966966966966,333,10,0
"Feature-reg(hgb, log-cost)",14778.247713989073,2797.0424751039673,20583.059746885025,9958.395543252183,0.546352517278724,0.5224792998404533,0.17105038263351474,0.5255255255255256,4819.852170736889,0.7117117117117117,333,10,0
VBS (oracle),9958.395543252183,1802.926352006175,20583.059746885025,9958.395543252183,1.0,1.0,0.0,1.0,0.0,0.8078078078078078,333,10,0
