selector,par10,par10_std,sbs_par10,vbs_par10,gap_closed,gap_closed_std,accuracy,mean_regret,solved_fraction,n_folds,fallbacks
SBS,21118.983930838593,4240.471581086028,21118.983930838593,9835.519544408073,0.0,0.0,0.21507936507936506,11283.464386430518,0.5866666666666667,10,0
Random,25892.40589435197,3798.050993191776,21118.983930838593,9835.519544408073,-0.667655605556206,0.8771552676332084,0.2123015873015873,16056.886349943898,0.4902380952380952,10,0
Feature-clf(hgb),15764.97417353174,2554.036412529262,21118.983930838593,9835.519544408073,0.49430304449558954,0.20189579098244853,0.5210317460317461,5929.454629123669,0.6915873015873018,10,0
"Feature-clf(hgb, cost-sensitive)",15374.484668411378,2397.7031204979467,21118.983930838593,9835.519544408073,0.45176622644413705,0.2603333047390779,0.5354761904761904,5538.965124003305,0.7001587301587302,10,0
"Feature-clf(rf, cost-sensitive)",15095.221378117112,2843.442993397603,21118.983930838593,9835.519544408073,0.47992345536496483,0.25282530527594643,0.5411111111111111,5259.701833709043,0.705873015873016,10,0
"Feature-reg(hgb, log-cost)",14521.323079433485,2736.2098880982717,21118.983930838593,9835.519544408073,0.5984226733519188,0.20198884054784252,0.5184126984126983,4685.803535025411,0.7171428571428572,10,0
VBS (oracle),9835.519544408073,1687.1263319989944,21118.983930838593,9835.519544408073,1.0,0.0,1.0,0.0,0.8103174603174603,10,0
