selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,23763.149134314222,3779.8742298101033,23763.149134314222,16837.687475109713,0.0,0.0,0.0,0.5375375375375375,6925.461659204507,0.5345345345345346,333,10,0
Random,25475.5128909644,3694.5005991286175,23763.149134314222,16837.687475109713,-0.24725626115831653,-0.514746682275908,0.9930789593225142,0.5045045045045045,8637.82541585469,0.5015015015015015,333,10,0
Feature-clf(hgb),20256.78025519914,3126.076895977917,23763.149134314222,16837.687475109713,0.5063011033285887,0.4097624185702532,0.4273350326241784,0.7117117117117117,3419.092780089427,0.6036036036036037,333,10,0
"Feature-clf(hgb, cost-sensitive)",18814.887673732686,2817.58559225551,23763.149134314222,16837.687475109713,0.7145027586723968,0.6667306581543243,0.2421654482684889,0.7297297297297297,1977.20019862297,0.6336336336336337,333,10,0
"Feature-clf(rf, cost-sensitive)",18836.117218984946,3257.269308076448,23763.149134314222,16837.687475109713,0.7114373247277812,0.6307001935137256,0.3085394564816406,0.7237237237237237,1998.4297438752312,0.6336336336336337,333,10,0
"Feature-reg(hgb, log-cost)",18679.501055854456,3361.53258257786,23763.149134314222,16837.687475109713,0.7340518695534439,0.7417312998018412,0.17513245510925401,0.7567567567567568,1841.8135807447418,0.6366366366366366,333,10,0
VBS (oracle),16837.687475109713,3392.123699180358,23763.149134314222,16837.687475109713,1.0,1.0,0.0,1.0,0.0,0.6726726726726727,333,10,0
