selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,23839.697334773628,3392.7955209636893,23839.697334773628,16888.26804385117,0.0,0.0,0.0,0.5127478753541076,6951.429290922453,0.5325779036827195,353,10,0
Random,25490.16817092401,3883.769470134007,23839.697334773628,16888.26804385117,-0.23742899007915616,-0.401767842896205,0.7750649030159675,0.49291784702549574,8601.900127072842,0.5014164305949008,353,10,0
Feature-clf(hgb),20406.991322367325,2989.46084523875,23839.697334773628,16888.26804385117,0.4938129798556552,0.42270429614506694,0.29966617316962285,0.6940509915014165,3518.7232785161527,0.6005665722379604,353,10,0
"Feature-clf(hgb, cost-sensitive)",19054.838743831904,2840.9470784255004,23839.697334773628,16888.26804385117,0.6883273051759361,0.6501335448299685,0.23673859128812197,0.7223796033994334,2166.570699980731,0.6288951841359773,353,10,0
"Feature-clf(rf, cost-sensitive)",19084.614769925553,3283.02341049176,23839.697334773628,16888.26804385117,0.6840438657784397,0.6248340035391406,0.25982010996843824,0.7223796033994334,2196.3467260743796,0.6288951841359773,353,10,0
"Feature-reg(hgb, log-cost)",19204.527160268477,3174.8918404393717,23839.697334773628,16888.26804385117,0.6667938319617234,0.653173125323048,0.18383759756564838,0.7252124645892352,2316.259116417303,0.6260623229461756,353,10,0
VBS (oracle),16888.26804385117,3303.2587360385583,23839.697334773628,16888.26804385117,1.0,1.0,0.0,1.0,0.0,0.6713881019830028,353,10,0
