selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
Feat-clf,9121.619988499999,1048.3143055710686,10126.8346995,6991.734992000001,0.32063245344167446,0.3225684651356322,0.15424183995005994,0.535,2129.8849965000004,0.8235,2000,10,0
Feat-clf-tuned,9143.807506000001,885.1621169784795,10126.8346995,6991.734992000001,0.3135553204730088,0.31386674500782774,0.22926942724818267,0.4585,2152.072514,0.8235,2000,10,0
Feat-reg,9335.2035765,1492.0394445780937,10126.8346995,6991.734992000001,0.2525058839775352,0.23808849181381148,0.2784771278674194,0.4175,2343.4685845,0.8195,2000,10,0
Feat-reg-tuned,8964.358021000002,1070.8445663042594,10126.8346995,6991.734992000001,0.3707941650847792,0.3633669034625483,0.15639367270386995,0.4045,1972.623029,0.827,2000,10,0
