selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
Feat-clf,23416.547704716806,6271.848768362666,23571.532035877153,16888.268043851174,0.023189916086700166,0.09618887774147751,0.5019691569323851,0.49008498583569404,6528.279660865633,0.5439093484419264,353,10,0
Feat-clf-tuned,23151.31974878418,6364.308785712626,23571.532035877153,16888.268043851174,0.06287530877043662,0.12280422469286312,0.5094224848877488,0.48725212464589235,6263.051704933006,0.5495750708215298,353,10,0
Feat-reg,21957.30169583555,6088.791988380335,23571.532035877153,16888.268043851174,0.2415332301653194,0.2019746127510121,0.6197229634124738,0.5042492917847026,5069.033651984382,0.5722379603399433,353,10,0
Feat-reg-tuned,22040.21396845065,6925.343125183209,23571.532035877153,16888.268043851174,0.22912727512388675,0.17880221616501846,0.618908716532057,0.5750708215297451,5151.945924599476,0.5694050991501416,353,10,0
