selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
Feat-clf,19054.838743831904,2840.9470784255004,23839.697334773628,16888.26804385117,0.6883273051759361,0.6501335448299685,0.23673859128812197,0.7223796033994334,2166.570699980731,0.6288951841359773,353,10,0
Feat-clf-tuned,19313.553942347287,3356.086191153432,23839.697334773628,16888.26804385117,0.6511097506719685,0.5831593855184696,0.38540192391244554,0.7308781869688386,2425.285898496113,0.623229461756374,353,10,0
Feat-reg,19204.527160268477,3174.8918404393717,23839.697334773628,16888.26804385117,0.6667938319617234,0.653173125323048,0.18383759756564838,0.7252124645892352,2316.259116417303,0.6260623229461756,353,10,0
Feat-reg-tuned,18930.400113769447,3477.3040500261704,23839.697334773628,16888.26804385117,0.70622846260049,0.7105264555027955,0.1696897790699355,0.7308781869688386,2042.1320699182716,0.6317280453257791,353,10,0
