selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,10126.8346995,1133.0831020618657,10126.8346995,6991.734992000001,0.0,0.0,0.0,0.2235,3135.0997075,0.8045,2000,10,0
Random,12723.9972515,1160.219423090021,10126.8346995,6991.734992000001,-0.8284146580049409,-0.8810454841929743,0.4076023330824739,0.246,5732.2622595,0.753,2000,10,0
Feat-clf(hgb),9368.408156,1023.0169706708136,10126.8346995,6991.734992000001,0.24191464841951923,0.24286249693132844,0.19035039179329818,0.5355,2376.673164,0.8185,2000,10,0
"Feat-clf(hgb, cost-sensitive)",9121.619988499999,1048.3143055710686,10126.8346995,6991.734992000001,0.32063245344167446,0.3225684651356322,0.15424183995005994,0.535,2129.8849965000004,0.8235,2000,10,0
"Feat-clf(rf, cost-sensitive)",9113.697496,1077.186598974638,10126.8346995,6991.734992000001,0.3231594839157118,0.3299025507306215,0.17827123151247462,0.4575,2121.9625039999996,0.824,2000,10,0
"Feat-reg(hgb, log-cost)",9335.2035765,1492.0394445780937,10126.8346995,6991.734992000001,0.2525058839775352,0.23808849181381148,0.2784771278674194,0.4175,2343.4685845,0.8195,2000,10,0
VBS (oracle),6991.734992000001,1018.1338595652851,10126.8346995,6991.734992000001,1.0,1.0,0.0,1.0,0.0,0.8655,2000,10,0
