selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,10619.825758500001,2866.2269108186683,10619.825758500001,6991.734992000001,0.0,0.0,0.0,0.2205,3628.0907665,0.7955,2000,10,0
Random,12266.5527205,3251.128303730436,10619.825758500001,6991.734992000001,-0.4538825150696512,-0.45772096650896266,0.2624592151166216,0.241,5274.8177285,0.7625,2000,10,0
Feat-clf(hgb),11178.572682,4220.312608299498,10619.825758500001,6991.734992000001,-0.15400577313533395,-0.12630647414912197,0.5807792471949764,0.4435,4186.83769,0.782,2000,10,0
"Feat-clf(hgb, cost-sensitive)",10133.996459,3417.679316511089,10619.825758500001,6991.734992000001,0.13390770263685492,0.13165100046511471,0.35044253878378145,0.453,3142.2614670000003,0.803,2000,10,0
"Feat-clf(rf, cost-sensitive)",9772.554502,3335.2798445812355,10619.825758500001,6991.734992000001,0.23353088746381012,0.25633000016476903,0.3977980244575869,0.395,2780.81951,0.811,2000,10,0
"Feat-reg(hgb, log-cost)",10482.659043,3245.3381483725966,10619.825758500001,6991.734992000001,0.03780685884888303,0.06677359936748797,0.23761945032467754,0.3565,3490.924051,0.7965,2000,10,0
VBS (oracle),6991.734992000001,2730.0744531239725,10619.825758500001,6991.734992000001,1.0,1.0,0.0,1.0,0.0,0.8655,2000,10,0
