selector,par10,par10_fold_std,sbs_par10,vbs_par10,gap_closed,gap_closed_fold_mean,gap_closed_fold_std,accuracy,mean_regret,solved_fraction,n_instances,n_folds,fallbacks
SBS,17970.2373301755,6172.205341840604,17970.2373301755,13347.126180630252,0.0,0.0,0.0,0.6,4623.111149545251,0.6525,400,10,0
Random,22096.10086605825,4888.74207201281,17970.2373301755,13347.126180630252,-0.8924430761930933,-1.894067935198633,2.4057223354927117,0.44,8748.974685428,0.57,400,10,0
Feat-clf(hgb),21553.22147589,7166.41603802389,17970.2373301755,13347.126180630252,-0.7750157912744411,-1.3082813338244204,1.5034729161740465,0.5175,8206.09529525975,0.58,400,10,42
"Feat-clf(hgb, cost-sensitive)",19342.10645808525,7075.9206257425285,17970.2373301755,13347.126180630252,-0.2967415412551124,-0.5122297370398987,1.3423888234096344,0.5225,5994.980277455,0.625,400,10,42
"Feat-clf(rf, cost-sensitive)",17748.0802760005,6673.157474962633,17970.2373301755,13347.126180630252,0.04805358274737849,-0.15358000670344846,0.765334485655603,0.535,4400.95409537025,0.6575,400,10,42
"Feat-reg(hgb, log-cost)",18380.12839613025,7852.855468865747,17970.2373301755,13347.126180630252,-0.08866130462709508,-0.32958620815294265,1.7889582631352474,0.5175,5033.002215500001,0.645,400,10,42
VBS (oracle),13347.126180630252,5226.080122654552,17970.2373301755,13347.126180630252,1.0,1.0,0.0,1.0,0.0,0.7425,400,10,0
